,N_u,N_f,alpha,Validation Error
0,800,800,0.01,1.4551801681518555
1,800,800,0.1,103862512.0
2,800,800,1.0,455.83856201171875
3,800,800,10.0,inf
4,800,800,100.0,46892.25390625
5,800,4000,0.01,4.2860447138082236e-05
6,800,4000,0.1,0.17934520542621613
7,800,4000,1.0,0.17936091125011444
8,800,4000,10.0,144.6826171875
9,800,4000,100.0,1.1048855412809644e-05
10,800,8000,0.01,
11,800,8000,0.1,0.1796552985906601
12,800,8000,1.0,5.030395186622627e-06
13,800,8000,10.0,2.688439235498663e-05
14,800,8000,100.0,253.80926513671875
