NOISE,DATASET,MODEL,MEAN_ERR,STD_ERR
0.0,SIMULATION_00_03,FF_200,7.717150462361162e-05,3.8168900573787166e-05
0.0,SIMULATION_00_03,FF_400,0.0030970055571135665,0.003970189411544776
0.0,SIMULATION_00_03,FF_800,0.0002881031493112667,7.25446158999749e-05
0.0,SIMULATION_00_03,FF_1600,0.0002471214344647,0.0001316811635082926
0.0,SIMULATION_00_03,PIDNN_200,7.23900587520808e-05,8.742140140722315e-05
0.0,SIMULATION_00_03,PIDNN_400,1.792482483627585e-05,1.0625084439429222e-06
0.0,SIMULATION_00_03,PIDNN_800,1.7689570692406658e-05,2.2646273566309506e-06
0.0,SIMULATION_00_10,FF_200,2.8351596787009232e-05,2.4430355507688844e-05
0.0,SIMULATION_00_10,FF_400,0.0002672006618619,0.00021989569541355252
0.0,SIMULATION_00_10,FF_800,8.764322895631639e-05,4.3853894989530575e-05
0.0,SIMULATION_00_10,FF_1600,0.0009674384176226423,0.0012103641677059197
0.0,SIMULATION_00_10,PIDNN_200,4.362325019731846e-06,6.427728426775611e-07
0.0,SIMULATION_00_10,PIDNN_400,2.630623612276395e-06,9.788871671399957e-07
0.0,SIMULATION_00_10,PIDNN_800,2.1224202176502636e-06,4.6821117315570636e-07
0.0,SIMULATION_10_20,FF_200,3.674964379266991e-05,4.1386285080340194e-05
0.0,SIMULATION_10_20,FF_400,0.00022340642559960002,0.00010429016028024962
0.0,SIMULATION_10_20,FF_800,0.0001981322942204441,0.00019527700702552629
0.0,SIMULATION_10_20,FF_1600,2.1223322922499694e-05,7.03762685664449e-06
0.0,SIMULATION_10_20,PIDNN_200,3.1779421381846382e-06,2.7855348220179225e-06
0.0,SIMULATION_10_20,PIDNN_400,7.978454732437967e-07,5.061623428597111e-07
0.0,SIMULATION_10_20,PIDNN_800,8.116291307184534e-07,6.750811741788304e-07
0.0,SIMULATION_00_20,FF_200,2.1584750660016045e-05,7.5000969003117485e-06
0.0,SIMULATION_00_20,FF_400,0.0005761170080706999,0.0004391414409764379
0.0,SIMULATION_00_20,FF_800,6.963723960022132e-05,1.7040567008712005e-05
