,NOISE,DATASET,MODEL,ERR_AVG,ERR_STD,ERR_MAX,ERR_MIN,LOG_STD
0,0.0,SIMULATION_00_03,FF_200,0.0030970055571136377,0.003241646080161786,0.007659435272216797,0.0004277439438737929,1.1934527180611316
1,0.0,SIMULATION_00_03,FF_400,0.0002881031493113066,5.923243084702317e-05,0.0003661127120722085,0.00022266728046815842,0.20369968510563616
2,0.0,SIMULATION_00_03,FF_800,0.0002471214344647403,0.00010751721977709589,0.00036784500116482377,0.00010670158371794969,0.5243881720438981
3,0.0,SIMULATION_00_03,FF_1600,7.717150462364468e-05,3.116477681629953e-05,0.00010733350791269913,3.425967224757187e-05,0.5018400476839093
4,0.0,SIMULATION_00_03,PIDNN_200,7.239005875211053e-05,7.137927534895006e-05,0.00017332892457488924,2.0915415007038973e-05,0.975968513364103
5,0.0,SIMULATION_00_03,PIDNN_400,1.792482483627585e-05,8.675345116862332e-07,1.9150165826431476e-05,1.725896800053306e-05,0.04763424014512751
6,0.0,SIMULATION_00_03,PIDNN_800,1.7689570692406658e-05,1.8490604937645658e-06,2.0300734831835143e-05,1.6261908967862837e-05,0.10124280404240525
7,0.0,SIMULATION_00_10,FF_200,0.0002672006618619586,0.00017954408346589832,0.0005209443625062704,0.00013228408352006227,0.6208668146245578
8,0.0,SIMULATION_00_10,FF_400,8.764322895634298e-05,3.5806555319345225e-05,0.00012800405966117978,4.0978542529046535e-05,0.4809031818822173
9,0.0,SIMULATION_00_10,FF_800,0.0009674384176226644,0.000988258204609325,0.0023426192346960306,6.388572364812717e-05,1.475126309314721
10,0.0,SIMULATION_00_10,FF_1600,2.8351596787009232e-05,1.9947301742876783e-05,5.637088543153368e-05,1.150789739767788e-05,0.6747375355656503
11,0.0,SIMULATION_00_10,PIDNN_200,4.362325019731846e-06,5.248218283594237e-07,5.047888407716528e-06,3.773252728933585e-06,0.11929939038587829
12,0.0,SIMULATION_00_10,PIDNN_400,2.630623612276395e-06,7.992580250838339e-07,3.7472218537004665e-06,1.920250952025526e-06,0.28685667132921877
13,0.0,SIMULATION_00_10,PIDNN_800,2.1224202176502636e-06,3.822928220337938e-07,2.6395505301479716e-06,1.7272758441322367e-06,0.17583127388507733
14,0.0,SIMULATION_10_20,FF_200,0.00010056646109054175,5.1604744345702136e-05,0.00017087295418605208,4.8462632548762485e-05,0.516587693679174
15,0.0,SIMULATION_10_20,FF_400,2.9097038350300863e-05,1.2513382863822604e-05,4.6195851609809324e-05,1.659793997532688e-05,0.42186003429835894
16,0.0,SIMULATION_10_20,FF_800,8.811503751834e-05,0.00010612417356843536,0.00023801294446457177,6.726096216880251e-06,1.4942749566908233
17,0.0,SIMULATION_10_20,FF_1600,0.00020297226698554974,0.0002760969194333658,0.0005934200598858297,5.0736471166601405e-06,2.09577022980265
18,0.0,SIMULATION_10_20,PIDNN_200,1.1825762508503128e-06,1.3863067138723305e-06,3.143110006931238e-06,2.022803613499491e-07,1.2931427317491295
19,0.0,SIMULATION_10_20,PIDNN_400,7.247666502507855e-07,7.738871267120013e-07,1.818256578189903e-06,1.3850257118974696e-07,1.1225633860869617
20,0.0,SIMULATION_10_20,PIDNN_800,1.7688175759644764e-06,2.25906515411412e-06,4.962983439327218e-06,1.1658590182150874e-07,1.6341339454856658
21,0.0,SIMULATION_00_20,FF_200,0.00022340642559962967,8.51525592932105e-05,0.000343769061146304,0.0001598987728357315,0.3516128010890327
22,0.0,SIMULATION_00_20,FF_400,0.00019813229422046183,0.00015944300857015053,0.00041221705032512546,2.9780068871332332e-05,1.0832347606392367
23,0.0,SIMULATION_00_20,FF_800,2.1223322922499694e-05,5.746198266295364e-06,2.8885917345178314e-05,1.5048593013489153e-05,0.26746149572564026
24,0.0,SIMULATION_00_20,FF_1600,3.674964379266991e-05,3.379176026539793e-05,8.420883386861533e-05,8.167879059328698e-06,0.9694856994153325
25,0.0,SIMULATION_00_20,PIDNN_200,3.1779421381846382e-06,2.2743796582327556e-06,6.36756703897845e-06,1.2240698197274469e-06,0.6946101556032941
26,0.0,SIMULATION_00_20,PIDNN_400,7.978454732437967e-07,4.132798223393215e-07,1.3822087794324034e-06,4.961789841217978e-07,0.4743586578635505
